,Coh_Swath,Coh_SwathOverPoca,DayInYear_Swath,DemDiffMad_Swath,DemDiff_Swath,DemDiff_SwathOverPoca,Dist_SwathToPoca,Elev_Oib,Elev_Swath,Heading_Swath,Lat_Swath,LeadEdgeS_Poca,LeadEdgeW_Poca,Lon_Swath,MeanDiffSpread_Swath,PhaseConfidence_Swath,PhaseSSegment_Swath,Phase_Swath,Phase_SwathOverPoca,PowerScaled_Swath,PowerScaled_SwathOverPoca,PowerWatt_Swath,SampleNb_Swath,SampleNb_SwathMinusLeadEdgeS,StartTime_Swath,Wf_Number_Swath,X_Swath,Y_Swath
336,0.925,1.0869565217391306,137,8.917495824547629,-33.369851485826075,3.320298459391404,7044.5213464081435,1573.8416,1567.630148514174,-6.404506979826065,64.61294342439612,151.0,0.6999999999999886,-41.62524780115535,62.26659731068437,0.9805594364102244,-0.0045121506819008166,1.360417,0.30238253562569073,4766.0,0.5709835869174553,1.9194874027457337e-16,430,279.0,1463417713,1070,164484,-2789342
337,0.911,1.0705052878965924,137,8.917495824547629,-36.18694684281945,3.6005992985412796,6987.636009409764,1574.2131,1566.8130531571805,-6.404506979826065,64.61288687441339,151.0,0.6999999999999886,-41.62640153506095,62.26659731068437,0.9805594364102244,-0.0045121506819008166,1.385644,0.30798979003829313,5477.0,0.6561638912184018,2.2058398037848055e-16,434,283.0,1463417713,1070,164428,-2789352
338,0.951,1.1175088131609872,137,8.917495824547629,-31.662507843226194,3.1504178571782364,7011.966414637195,1573.7543,1569.3374921567738,-6.404506979826065,64.61291111474176,151.0,0.6999999999999886,-41.625907006494344,62.26659731068437,0.9805594364102244,-0.0045121506819008166,1.374833,0.3055868080168619,9154.0,1.0966814424344076,3.686736820128923e-16,423,272.0,1463417713,1070,164452,-2789348
339,0.918,1.0787309048178615,137,8.917495824547629,-35.385232710279524,3.5208287847205844,6941.930711264698,1574.2414,1567.6147672897205,-6.404506979826065,64.61284168184827,151.0,0.6999999999999886,-41.62732341913818,62.26659731068437,0.9805594364102244,-0.0045121506819008166,1.405803,0.31247057022236774,3736.0,0.4475859590271954,1.504659029932451e-16,431,280.0,1463417713,1070,164383,-2789360
340,0.979,1.1504112808460634,137,8.917495824547629,-29.90121639892459,2.9751694515466487,6871.895007929035,1574.2124,1574.0987836010754,-6.404506979826065,64.61277129947547,151.0,0.6999999999999886,-41.62875891093631,62.26659731068437,0.9805594364102244,-0.0045121506819008166,1.437199,0.3194490202773907,21813.0,2.6132742302623697,8.785098345802075e-16,404,253.0,1463417713,1070,164314,-2789372
341,0.918,1.0787309048178615,137,8.917495824547629,-35.385232710279524,3.5208287847205844,6941.930711264698,1574.1351,1567.6147672897205,-6.404506979826065,64.61284168184827,151.0,0.6999999999999886,-41.62732341913818,62.26659731068437,0.9805594364102244,-0.0045121506819008166,1.405803,0.31247057022236774,3736.0,0.4475859590271954,1.504659029932451e-16,431,280.0,1463417713,1070,164383,-2789360
342,0.907,1.0658049353701529,137,8.917495824547629,-34.935285456478596,3.476059056745104,7008.839347566757,1573.7315,1566.0647145435214,-6.404506979826065,64.61290819345065,151.0,0.6999999999999886,-41.625966605769975,62.26659731068437,0.9805594364102244,-0.0045121506819008166,1.376133,0.30587576154825225,4778.0,0.572421229184138,1.924320354662005e-16,437,286.0,1463417713,1070,164449,-2789349
343,0.918,1.0787309048178615,137,8.917495824547629,-35.385232710279524,3.5208287847205844,6941.930711264698,1574.1522,1567.6147672897205,-6.404506979826065,64.61284168184827,151.0,0.6999999999999886,-41.62732341913818,62.26659731068437,0.9805594364102244,-0.0045121506819008166,1.405803,0.31247057022236774,3736.0,0.4475859590271954,1.504659029932451e-16,431,280.0,1463417713,1070,164383,-2789360
344,0.979,1.1504112808460634,137,8.917495824547629,-29.90121639892459,2.9751694515466487,6871.895007929035,1574.0174,1574.0987836010754,-6.404506979826065,64.61277129947547,151.0,0.6999999999999886,-41.62875891093631,62.26659731068437,0.9805594364102244,-0.0045121506819008166,1.437199,0.3194490202773907,21813.0,2.6132742302623697,8.785098345802075e-16,404,253.0,1463417713,1070,164314,-2789372
345,0.918,1.0787309048178615,137,8.917495824547629,-35.385232710279524,3.5208287847205844,6941.930711264698,1574.0489,1567.6147672897205,-6.404506979826065,64.61284168184827,151.0,0.6999999999999886,-41.62732341913818,62.26659731068437,0.9805594364102244,-0.0045121506819008166,1.405803,0.31247057022236774,3736.0,0.4475859590271954,1.504659029932451e-16,431,280.0,1463417713,1070,164383,-2789360
