,Coh_Swath,Coh_SwathOverPoca,DayInYear_Swath,DemDiffMad_Swath,DemDiff_Swath,DemDiff_SwathOverPoca,Dist_SwathToPoca,Elev_Oib,Elev_Swath,Heading_Swath,Lat_Swath,LeadEdgeS_Poca,LeadEdgeW_Poca,Lon_Swath,MeanDiffSpread_Swath,PhaseConfidence_Swath,PhaseSSegment_Swath,Phase_Swath,Phase_SwathOverPoca,PowerScaled_Swath,PowerScaled_SwathOverPoca,PowerWatt_Swath,SampleNb_Swath,SampleNb_SwathMinusLeadEdgeS,StartTime_Swath,Wf_Number_Swath,X_Swath,Y_Swath
50,0.825,0.8665966386554622,125,8.58482437432369,-26.617542662657797,4.2399291346202395,1647.2319205260685,2496.9646,2496.382457337342,186.31405771849646,63.889329756383574,74.1,0.8000000000000114,-42.92936016293464,48.152341745738,0.9781665807572655,0.01227184630308513,-2.277499,0.755597387532936,26991.0,3.1513134851138354,2.440746272576108e-15,150,75.9,1336113389,1417,103932,-2874632
51,0.807,0.8476890756302522,125,8.58482437432369,-27.133515482768416,4.3221188476371495,1677.2981249616896,2496.3172,2495.8664845172316,186.31405771849646,63.8893014894154,74.1,0.8000000000000114,-42.928769767509834,48.152341745738,0.9781665807572655,0.01227184630308513,-2.264174,0.7511766017548187,29333.0,3.4247518972562756,2.6525290064641912e-15,151,76.9,1336113389,1417,103962,-2874634
52,0.795,0.8983050847457628,125,6.944432548561036,-25.56402835994959,7.0042966001994005,2912.580470991317,2492.5947,2494.4359716400504,186.3143361497759,63.891947227578164,93.9,0.7999999999999972,-42.92682455595099,40.45476211003598,0.9578291184324634,0.015339807878856412,-2.235546,0.631970537931195,11197.0,1.2500837333928771,1.3282729742040978e-15,156,62.099999999999994,1336113389,1416,104049,-2874330
53,0.795,0.8983050847457628,125,6.944432548561036,-25.56402835994959,7.0042966001994005,2912.580470991317,2491.9094,2494.4359716400504,186.3143361497759,63.891947227578164,93.9,0.7999999999999972,-42.92682455595099,40.45476211003598,0.9578291184324634,0.015339807878856412,-2.235546,0.631970537931195,11197.0,1.2500837333928771,1.3282729742040978e-15,156,62.099999999999994,1336113389,1416,104049,-2874330
54,0.795,0.8983050847457628,125,6.944432548561036,-25.56402835994959,7.0042966001994005,2912.580470991317,2491.187,2494.4359716400504,186.3143361497759,63.891947227578164,93.9,0.7999999999999972,-42.92682455595099,40.45476211003598,0.9578291184324634,0.015339807878856412,-2.235546,0.631970537931195,11197.0,1.2500837333928771,1.3282729742040978e-15,156,62.099999999999994,1336113389,1416,104049,-2874330
55,0.662,0.7480225988700565,125,6.944432548561036,-26.523451753892004,7.267169333781202,3081.0084388070086,2490.2967,2491.476548246108,186.3143361497759,63.891787155005964,93.9,0.7999999999999972,-42.92348277931404,40.45476211003598,0.9578291184324634,0.015339807878856412,-2.16013,0.6106510526293408,21951.0,2.4507089427263593,2.60399393201341e-15,162,68.1,1336113389,1416,104217,-2874342
56,0.662,0.7480225988700565,125,6.944432548561036,-26.523451753892004,7.267169333781202,3081.0084388070086,2490.4147,2491.476548246108,186.3143361497759,63.891787155005964,93.9,0.7999999999999972,-42.92348277931404,40.45476211003598,0.9578291184324634,0.015339807878856412,-2.16013,0.6106510526293408,21951.0,2.4507089427263593,2.60399393201341e-15,162,68.1,1336113389,1416,104217,-2874342
57,0.662,0.7480225988700565,125,6.944432548561036,-26.523451753892004,7.267169333781202,3081.0084388070086,2489.5503,2491.476548246108,186.3143361497759,63.891787155005964,93.9,0.7999999999999972,-42.92348277931404,40.45476211003598,0.9578291184324634,0.015339807878856412,-2.16013,0.6106510526293408,21951.0,2.4507089427263593,2.60399393201341e-15,162,68.1,1336113389,1416,104217,-2874342
58,0.662,0.7480225988700565,125,6.944432548561036,-26.523451753892004,7.267169333781202,3081.0084388070086,2489.6465,2491.476548246108,186.3143361497759,63.891787155005964,93.9,0.7999999999999972,-42.92348277931404,40.45476211003598,0.9578291184324634,0.015339807878856412,-2.16013,0.6106510526293408,21951.0,2.4507089427263593,2.60399393201341e-15,162,68.1,1336113389,1416,104217,-2874342
59,0.723,0.7910284463894967,125,5.270718018087925,-32.24080169107765,4.794161585343673,3703.6367262462445,2482.5821,2482.7591983089224,186.3146085256984,63.894251916839615,111.6,0.20000000000000284,-42.91776102172332,22.484647017585147,0.9698849097904915,0.02454369260617026,-2.046282,0.5528151781677237,59511.0,6.247218139827839,6.743489156267602e-15,185,73.4,1336113389,1415,104494,-2874051
60,0.718,0.7855579868708971,125,5.270718018087925,-29.095655824057758,4.32648284582455,3753.722951950503,2481.9643,2484.9043441759422,186.3146085256984,63.894204702266414,111.6,0.20000000000000284,-42.91677637636053,22.484647017585147,0.9698849097904915,0.02454369260617026,-2.024075,0.5468158258489472,45371.0,4.76285954230527,5.141215010821821e-15,174,62.400000000000006,1336113389,1415,104544,-2874054
